5;5;18;5
5;5;5;18
32;45;45;45
45;32;45;45
5;32;5;45
5;45;18;45
32;5;45;5
45;5;45;18
13;13;13;37
37;13;37;37
17;17;17;17
18;18;18;18
19;19;19;19
20;20;20;20
21;21;21;21
22;22;22;22
23;23;23;23
24;24;24;24
25;25;25;25
26;26;26;26
27;27;27;27
28;28;28;28
29;29;29;29
30;30;30;30
31;31;31;31
32;32;32;32
33;33;33;33
33;17;33;17
32;18;32;18
31;19;31;19
30;20;30;20
29;21;29;21
28;22;28;22
27;23;27;23
26;24;26;24
25;25;25;25
24;26;24;26
23;27;23;27
22;28;22;28
21;29;21;29
20;30;20;30
19;31;19;31
18;32;18;32
17;33;17;33
24;24;25;25
26;26;25;25
25;25;24;24
25;25;26;26
